CUST NO.	XCOORD.	YCOORD.	DEMAND	TWNUM.	TWS
0		30.608119999999996	114.25882	0	1	0,480
1		30.615	114.269	1	1	76,141
2		30.627	114.248	1	3	94,154;168,229;321,383
3		30.606	114.26	3	2	51,228;247,424
4		30.625	114.246	2	1	163,279
5		30.587	114.242	2	2	167,285;347,466
6		30.578	114.286	1	2	172,236;237,301
7		30.601	114.23	2	3	18,134;142,257;298,416
8		30.604	114.26	1	1	381,446
9		30.617	114.268	1	2	97,162;265,327
10		30.616	114.239	1	1	281,342
11		30.595	114.26	3	1	216,396
12		30.619	114.267	1	1	403,466
13		30.579	114.273	1	2	38,101;396,460
14		30.578	114.278	3	1	131,311
15		30.608	114.244	1	3	10,75;105,165;176,241
16		30.636	114.249	2	1	179,297
17		30.578	114.275	4	1	121,360
18		30.629	114.252	2	2	92,209;214,330
19		30.614	114.26	1	1	217,278
20		30.607	114.266	1	1	80,142
21		30.62	114.241	1	1	47,107
