CUST NO.	XCOORD.	YCOORD.	DEMAND	TWNUM.	TWS
0		30.51221000000001	114.37155000000003	0	1	0,480
1		30.501	114.439	1	1	347,412
2		30.495	114.414	1	3	66,126;192,253;278,340
3		30.498	114.384	3	2	15,192;279,456
4		30.509	114.369	2	1	352,468
5		30.597	114.352	2	2	35,153;212,331
6		30.505	114.431	1	2	63,127;188,252
7		30.474	114.274	2	3	59,175;176,291;300,418
8		30.582	114.358	1	1	348,413
9		30.434	114.261	1	2	69,134;225,287
10		30.491	114.401	1	1	134,195
11		30.5	114.436	3	1	124,304
12		30.482	114.406	1	1	259,322
13		30.586	114.359	1	2	46,109;186,250
14		30.494	114.407	3	1	99,279
15		30.53	114.363	1	3	32,97;99,159;183,248
16		30.477	114.29	2	1	299,417
17		30.596	114.377	4	1	177,416
18		30.483	114.392	2	2	175,292;341,457
19		30.424	114.252	1	1	264,325
20		30.477	114.261	1	1	146,208
21		30.561	114.489	1	1	284,344
22		30.578	114.366	1	2	16,81;84,148
23		30.493	114.408	1	1	24,89
24		30.487	114.4	1	2	35,100;179,239
25		30.492	114.335	1	2	20,82;89,150
26		30.5	114.431	3	2	44,219;223,402
27		30.501	114.366	1	1	85,145
28		30.56	114.503	2	2	76,192;223,343
29		30.605	114.377	1	2	39,100;201,265
30		30.474	114.409	1	1	145,207
31		30.492	114.402	2	1	161,276
32		30.583	114.355	1	2	216,281;388,449
33		30.448	114.314	1	1	380,440
34		30.504	114.304	1	1	352,416
35		30.511	114.345	1	1	255,318
36		30.482	114.407	4	1	88,323
37		30.496	114.328	1	2	32,96;166,226
38		30.546	114.501	3	1	110,288
39		30.507	114.3	1	1	203,268
40		30.591	114.379	1	1	292,354
41		30.5	114.322	1	1	393,453
