CUST NO.	XCOORD.	YCOORD.	DEMAND	TWNUM.	TWS
0		30.52211	114.36466999999999	0	1	0,480
1		30.477	114.292	1	1	178,243
2		30.49	114.417	1	3	45,105;113,174;188,250
3		30.473	114.32	3	2	29,206;223,400
4		30.601	114.35	2	1	318,434
5		30.502	114.388	2	2	48,166;194,313
6		30.616	114.392	1	2	57,121;194,258
7		30.608	114.361	2	3	21,137;145,260;335,453
8		30.522	114.336	1	1	188,253
9		30.498	114.396	1	2	141,206;369,431
10		30.48	114.321	1	1	107,168
11		30.611	114.385	3	1	236,416
12		30.495	114.418	1	1	230,293
13		30.509	114.363	1	2	4,67;86,150
14		30.508	114.383	3	1	151,331
15		30.588	114.379	1	3	37,98;100,160;290,355
16		30.614	114.393	2	1	137,255
17		30.513	114.389	4	1	63,302
18		30.51	114.375	2	2	92,209;214,330
19		30.592	114.373	1	1	285,346
20		30.477	114.32	1	1	74,136
21		30.484	114.253	1	1	219,279
22		30.606	114.354	1	2	71,136;179,243
23		30.501	114.307	1	1	174,239
24		30.499	114.504	1	2	100,165;180,240
25		30.486	114.331	1	2	20,82;89,150
26		30.508	114.443	3	1	63,417
27		30.501	114.301	1	1	107,167
28		30.593	114.342	2	2	20,251;264,384
29		30.5	114.388	1	1	211,272
30		30.473	114.403	1	1	291,353
31		30.482	114.254	2	1	294,409
32		30.52	114.332	1	2	216,281;388,449
33		30.504	114.355	1	1	87,147
34		30.486	114.254	1	1	127,191
35		30.485	114.253	1	1	138,201
36		30.509	114.42	4	1	36,271
37		30.486	114.29	1	2	188,252;308,368
38		30.604	114.373	3	1	37,215
39		30.514	114.367	1	1	93,158
40		30.483	114.318	1	1	51,113
41		30.504	114.479	1	1	254,315
42		30.604	114.364	1	2	90,155;354,414
43		30.473	114.402	1	1	103,167
44		30.511	114.42	1	1	141,266
45		30.501	114.4	2	3	34,150;157,276;288,406
46		30.595	114.344	3	1	39,217
47		30.472	114.27	3	1	228,407
48		30.51	114.386	3	1	169,349
49		30.444	114.231	1	1	166,230
50		30.523	114.35	2	1	9,126
51		30.499	114.358	1	1	400,462
