CUST NO.	XCOORD.	YCOORD.	DEMAND	TWNUM.	TWS
0		30.51221000000001	114.37155000000003	0	1	0,480
1		30.501	114.439	1	1	347,412
2		30.495	114.414	1	3	66,126;192,253;278,340
3		30.498	114.384	3	2	15,192;279,456
4		30.509	114.369	2	1	352,468
5		30.597	114.352	2	2	35,153;212,331
6		30.505	114.431	1	2	63,127;188,252
7		30.474	114.274	2	3	59,175;176,291;300,418
8		30.582	114.358	1	1	348,413
9		30.434	114.261	1	2	69,134;225,287
10		30.491	114.401	1	1	134,195
11		30.5	114.436	3	1	124,304
12		30.482	114.406	1	1	259,322
13		30.586	114.359	1	2	46,109;186,250
14		30.494	114.407	3	1	99,279
15		30.53	114.363	1	3	32,97;99,159;183,248
16		30.477	114.29	2	1	299,417
17		30.596	114.377	4	1	177,416
18		30.483	114.392	2	2	175,292;341,457
19		30.424	114.252	1	1	264,325
20		30.477	114.261	1	1	146,208
21		30.561	114.489	1	1	284,344
22		30.578	114.366	1	2	16,81;84,148
23		30.493	114.408	1	1	24,89
24		30.487	114.4	1	2	35,100;179,239
25		30.492	114.335	1	2	20,82;89,150
26		30.5	114.431	3	2	44,219;223,402
27		30.501	114.366	1	1	85,145
28		30.56	114.503	2	2	76,192;223,343
29		30.605	114.377	1	2	39,100;201,265
30		30.474	114.409	1	1	145,207
31		30.492	114.402	2	1	161,276
32		30.583	114.355	1	2	216,281;388,449
33		30.448	114.314	1	1	380,440
34		30.504	114.304	1	1	352,416
35		30.511	114.345	1	1	255,318
36		30.482	114.407	4	1	88,323
37		30.496	114.328	1	2	32,96;166,226
38		30.546	114.501	3	1	110,288
39		30.507	114.3	1	1	203,268
40		30.591	114.379	1	1	292,354
41		30.5	114.322	1	1	393,453
42		30.595	114.348	1	2	56,121;344,404
43		30.484	114.339	1	1	397,458
44		30.45	114.313	1	2	129,191;291,355
45		30.506	114.433	2	3	44,160;161,280;294,412
46		30.509	114.34	3	1	108,286
47		30.471	114.483	3	1	229,408
48		30.5	114.386	3	1	245,425
49		30.501	114.363	1	1	179,243
50		30.499	114.333	2	1	204,321
51		30.49	114.408	1	1	51,113
52		30.505	114.417	2	1	124,244
53		30.594	114.359	1	1	146,211
54		30.474	114.289	4	1	61,301
55		30.507	114.361	1	3	103,163;172,232;367,432
56		30.472	114.311	1	2	64,128;298,359
57		30.506	114.442	1	1	235,296
58		30.473	114.404	1	1	352,414
59		30.492	114.309	1	2	91,152;342,403
60		30.483	114.255	3	1	65,242
61		30.494	114.396	1	1	161,223
62		30.591	114.36	1	1	138,199
63		30.497	114.29	1	1	116,178
64		30.505	114.402	1	1	141,205
65		30.456	114.292	3	2	63,240;256,432
66		30.561	114.486	1	1	66,189
67		30.545	114.51	3	1	220,399
68		30.481	114.326	4	1	113,348
69		30.484	114.337	2	1	133,251
70		30.481	114.318	4	1	199,438
71		30.599	114.369	1	1	294,359
72		30.483	114.403	2	2	20,138;239,355
73		30.5	114.412	1	1	217,279
74		30.493	114.29	1	2	165,225;269,332
75		30.505	114.323	1	1	205,267
76		30.495	114.369	1	1	319,380
77		30.478	114.408	1	1	294,356
78		30.505	114.363	1	1	403,466
79		30.59	114.378	1	1	179,242
80		30.506	114.422	2	1	132,252
81		30.504	114.344	1	2	171,231;256,319
82		30.502	114.381	3	2	109,286;297,474
83		30.503	114.436	2	2	107,225;279,396
84		30.509	114.32	3	1	28,206
85		30.502	114.328	1	2	50,112;115,176
86		30.495	114.384	1	2	47,112;232,295
87		30.5	114.316	2	1	75,193
88		30.494	114.511	1	3	81,146;148,213;224,287
89		30.504	114.366	3	1	4,180
90		30.491	114.33	1	1	141,203
91		30.588	114.376	2	2	156,271;296,414
92		30.523	114.518	2	1	108,225
93		30.503	114.436	1	2	152,215;226,287
94		30.51	114.378	3	1	103,459
95		30.495	114.41	3	1	185,363
96		30.483	114.286	1	2	106,166;262,323
97		30.497	114.285	4	1	65,305
98		30.6	114.383	2	1	226,341
99		30.615	114.396	2	1	226,345
100		30.597	114.357	1	1	394,456
